NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
CHINA YURUN FOOD GROUP,BMG211591018,,,,,,,,,,,14.96,18.18,22.74,15.7,21.73,20.07,22.58,38.75,47.78,48.64,53.35,56.92,61.12,56.71,51.95
CKI HOLDINGS,BMG2178K1009,,,,,,7.75,8.95,5.66,7.18,2.58,7.01,8.53,9.36,7.13,7.63,9.31,7.79,14.96,15.38,27.49,27.52,39.14,37.11,37.2,36.93
COSCO SHIPPING PORTS,BMG2442N1048,,,,,,,,,20.41,26.89,23.21,18.78,15.41,18.04,20.35,35.28,42.45,42.7,45.83,49.99,53.93,49.46,51.77,57.52,61.47
DFI RETAIL GROUP HOLDINGS,BMG2624N1535,,,,,,,,,,6.65,3.8,4.08,6.02,4.93,6.76,7.77,17.12,15.3,19.67,15.58,16.33,17.89,26.06,46.4,47.57
ESPRIT HOLDINGS,BMG3122U1457,,,,15.18,16.79,18.69,27.8,20.71,29.42,31.88,42.93,58.64,57.91,50.4,65.9,66.36,62.79,67.65,55.13,58.43,66.56,57.41,60.03,61.44,61.87
EVEREST GROUP,BMG3223R1088,,,,,,35.65,30.41,31.82,32.98,33.2,33.86,41.53,39.34,33.02,36.78,41.22,40.0,37.73,41.1,45.07,53.93,56.68,57.0,52.83,57.24
GUOCO GROUP,BMG420981224,,,,,,,,,,15.34,14.87,12.13,11.68,4.75,11.3,25.83,33.99,32.13,42.03,48.39,52.65,50.75,54.89,52.19,57.08
HONG KONG LAND HDG.,BMG4587L1090,,,,,,,,,,9.01,8.36,27.8,23.41,29.09,29.02,33.94,35.73,34.57,38.66,39.38,42.2,43.73,40.57,45.96,
HISCOX DI,BMG4593F1389,,,,,,35.97,31.4,17.87,47.25,46.22,45.85,43.56,42.55,47.49,46.22,50.11,53.09,50.46,57.55,57.98,56.22,56.75,59.39,62.72,59.33
HOPSON DEVELOPMENT HOLDINGS,BMG4600H1198,,,,,,,,,,,,39.51,32.08,28.84,33.02,32.11,31.93,38.47,38.34,45.33,45.45,49.61,57.01,53.02,47.08
HUABAO INTL.HDG.,BMG4639H1227,,,,,,,,,,,,13.1,15.14,18.99,14.45,14.1,8.92,15.08,28.95,32.37,39.83,42.02,44.74,48.63,
JARDINE MATHESON HDG.,BMG507361001,,,,,,,,,,6.22,4.79,8.47,6.73,11.18,11.0,11.56,4.49,4.8,12.72,11.31,13.92,15.81,27.26,25.65,34.77
KERRY PROPERTIES,BMG524401079,,,,,,18.19,27.07,22.04,23.7,24.38,19.2,33.21,45.31,50.47,54.4,56.56,64.14,67.16,68.95,80.29,79.03,80.34,76.8,78.19,76.2
KUNLUN ENERGY,BMG5320C1082,,,,,,,,,,,,12.04,10.23,10.81,8.09,14.73,14.47,28.37,34.94,35.92,34.66,37.44,39.53,43.58,46.99
NABORS INDUSTRIES,BMG6359F1370,,,,26.99,31.94,30.37,30.1,30.22,29.51,22.93,28.83,30.43,33.87,29.94,31.49,32.85,30.08,32.07,46.65,51.29,58.19,69.26,73.77,66.54,64.06
CTF SERVICES,BMG668971101,,,,,,,16.6,13.86,13.49,18.42,16.26,17.77,19.76,17.9,18.66,29.64,34.39,35.57,43.66,46.98,47.02,58.76,,56.83,55.42
ORIENT OVERSEAS (INTL.),BMG677491539,,,,,,14.07,11.06,12.55,38.45,33.74,31.18,34.86,37.17,38.43,37.99,57.83,62.19,62.37,63.67,63.42,62.51,63.31,64.85,62.74,63.34
PACIFIC BASIN SHIP.,BMG684371393,,,,,,,,,31.91,27.42,24.12,33.88,37.35,30.78,36.1,38.16,45.94,48.64,51.45,52.17,57.98,60.86,58.89,53.77,55.53
