NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
IRESS,AU000000IRE2,,,17844.0,20538.0,28959.0,41304.0,46402.0,52072.0,72126.0,120210.0,109662.0,146558.0,182587.0,221049.0,213955.0,224823.0,256921.0,256302.0,297737.0,337574.0,330278.0,340414.0,415571.0,424166.0,427335.0,408574.0
INVOCARE DEAD - DELIST.27/11/23,AU000000IVC8,,,,,,107874.0,114696.0,109870.0,124382.0,200173.0,163452.0,222313.0,271578.0,347055.0,380164.0,351100.0,328070.0,315991.0,352051.0,365847.0,341774.0,334665.0,363943.0,378371.0,409384.0,383195.0
JB HI-FI,AU000000JBH7,,,,,,,459376.0,613551.0,852138.0,1440592.0,1406579.0,2265236.0,2904341.0,3297861.0,3268281.0,3072470.0,2739663.0,2695351.0,3402488.0,5261712.0,4981772.0,4847122.0,6789152.0,6289551.0,6672668.0,6209484.0
JAMES HARDIE INDUSTRIES CDI,AU000000JHX1,,,469564.0,517664.0,659952.0,1064862.0,1190999.0,1379821.0,1616835.0,1594463.0,1104155.0,1046363.0,1184426.0,1152538.0,1353450.0,1478417.0,1395389.0,1721465.0,1804070.0,2185021.0,2326263.0,2509854.0,2908932.0,3351740.0,3890871.0,3827343.0
LENDLEASE GROUP STAPLED UNITS,AU000000LLC3,1936883,2336541.0,6790304.0,5839776.0,6308155.0,6205343.0,6217724.0,7876064.0,10134598.0,13368570.0,9949924.0,10889492.0,9639875.0,11350545.0,12475172.0,11208290.0,10404934.0,10432690.0,11989170.0,13665328.0,11108154.0,9726618.0,8444223.0,6245636.0,6853373.0,6610390.0
MACMAHON HOLDINGS,AU000000MAH3,307737,309109.0,237182.0,195963.0,263885.0,239177.0,354427.0,505930.0,676594.0,941618.0,883665.0,1001986.0,909331.0,1427450.0,1012852.0,1062527.0,664247.0,318854.0,247311.0,362182.0,698382.0,834456.0,1030911.0,1073865.0,1297028.0,1230966.0
MIRVAC GROUP STAPLED UNITS,AU000000MGR9,412427,497637.0,467370.0,541991.0,577149.0,1174628.0,1162929.0,1098217.0,1165451.0,1612295.0,1220747.0,1357288.0,1706475.0,1649499.0,1536632.0,1524053.0,1482002.0,1093147.0,1967841.0,1561649.0,1852473.0,1545744.0,1425240.0,1491123.0,1240661.0,1554003.0
MOUNT GIBSON IRON,AU000000MGX7,19299,18763.0,16157.0,112.0,859.0,-1.0,37137.0,71287.0,68977.0,234780.0,311046.0,421185.0,669603.0,701493.0,738237.0,849127.0,276719.0,195881.0,164628.0,132294.0,250259.0,246790.0,349167.0,73145.0,184864.0,485085.0
MONADELPHOUS GROUP,AU000000MND5,87306,104371.0,87224.0,71217.0,109578.0,190692.0,237485.0,322127.0,613249.0,826442.0,707109.0,1019844.0,1376949.0,1754380.0,2379362.0,2331395.0,1647070.0,1101158.0,960202.0,1155344.0,1184457.0,988975.0,1189708.0,1357207.0,1183737.0,1196146.0
MACQUARIE GROUP,AU000000MQG1,704482,817994.0,1140742.0,1536720.0,1690514.0,2642109.0,3087592.0,5108714.0,6136049.0,11219143.0,9546808.0,9039410.0,11421667.0,12088615.0,10950606.0,9538761.0,9633562.0,10257596.0,10662353.0,10616698.0,10592362.0,11244270.0,11088691.0,10948903.0,12715047.0,19170393.0
METCASH,AU000000MTS0,2978794,2621540.0,2811377.0,2767522.0,3733420.0,5329385.0,5608096.0,5142979.0,7394519.0,8833965.0,7004820.0,9792362.0,12027986.0,13463918.0,13108037.0,11893953.0,10507757.0,9538020.0,10399786.0,11553452.0,9007097.0,8576640.0,10574884.0,10269961.0,10909380.0,10397457.0
