NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
MIRVAC GROUP STAPLED UNITS,AU000000MGR9,,62.55,66.08,70.4,95.38,144.79,163.78,144.2,235.68,224.51,42.65,107.62,114.33,126.54,162.18,159.71,180.82,157.06,194.19,206.88,243.58,316.84,275.7,275.61,261.96,232.22
MOUNT GIBSON IRON,AU000000MGX7,2.63,1.42,1.22,0.16,0.09,0.25,0.58,0.88,1.02,4.38,0.55,1.93,3.78,2.55,1.58,1.74,0.35,0.26,0.56,0.66,1.09,1.4,1.63,0.82,1.04,0.87
MONADELPHOUS GROUP,AU000000MND5,223.57,312.18,213.03,167.52,361.69,702.7,1577.29,3672.55,6904.62,9995.66,4271.62,11082.95,22534.43,28964.8,32934.0,18311.29,10161.83,7177.49,14311.73,25326.13,22228.55,23041.15,20681.44,13893.97,21499.83,21522.83
MACQUARIE GROUP,AU000000MQG1,192.91,255.61,279.52,291.58,270.95,508.29,760.99,974.58,1354.34,1222.88,377.24,1113.9,1121.21,800.03,1163.92,1560.31,1730.68,1569.61,2317.38,3079.51,3528.91,4144.34,4519.07,6225.11,6136.38,6015.22
METCASH,AU000000MTS0,31.78,27.75,19.43,78.96,108.43,176.02,252.1,374.76,420.58,445.32,343.64,481.96,599.53,658.2,669.48,477.46,221.67,228.68,312.34,473.86,377.91,381.48,604.12,708.49,707.09,632.65
NATIONAL AUS.BANK,AU000000NAB4,5020.51,4229.34,5173.58,5662.55,6225.3,8527.96,8952.55,10592.11,13617.43,13049.13,5959.17,11278.84,13891.78,14685.95,18602.91,19593.56,20554.07,14845.82,19798.32,20140.9,17334.28,18166.02,21403.31,22537.9,26427.91,26754.66
NEWCREST MINING DEAD - DELIST.08/11/23,AU000000NCM7,27.07,46.78,37.99,46.78,68.53,158.24,225.76,357.91,299.79,616.48,421.55,534.21,758.82,729.26,490.81,192.74,230.69,220.12,376.65,360.61,369.63,414.66,412.13,357.99,397.53,
ORIGIN ENERGY (EX BORAL),AU000000ORG5,1304.65,1263.92,1508.65,1863.54,3012.83,5501.14,7345.95,7635.6,10667.68,11734.24,14521.29,22300.59,27723.99,25262.18,23220.43,24622.58,18370.57,6823.57,13718.52,17924.43,13508.51,13487.87,9525.89,12360.33,14917.03,17261.87
ORICA,AU000000ORI1,2698.92,2583.19,1844.17,2542.28,3211.65,6786.66,10184.41,11687.91,14233.84,19181.78,6167.58,17721.84,25724.74,27622.14,29081.32,22685.15,17365.76,11160.61,18090.35,19019.63,17296.24,20425.54,16960.94,15271.92,15411.65,15964.71
OZ MINERALS DEAD - DELIST.03/05/23,AU000000OZL8,65.23,209.3,76.46,287.07,706.09,1386.97,1493.56,3091.31,4494.58,6035.51,865.4,2063.18,4336.21,3453.87,2192.41,991.53,1100.96,1041.96,2482.84,2653.0,2727.96,2714.18,5872.4,7428.25,8181.29,
PERPETUAL,AU000000PPT9,388.49,407.53,624.1,744.67,645.93,1140.48,1892.08,2018.3,2449.42,2058.49,849.44,1397.27,1635.13,1256.91,2269.59,2425.2,2358.83,1816.06,2348.1,2820.08,1900.77,2292.59,2233.75,2234.64,1759.16,1686.13
QANTAS AIRWAYS,AU000000QAN2,126.01,130.82,116.57,122.41,147.72,190.36,210.23,232.09,343.42,367.83,123.93,251.88,256.84,182.25,167.99,99.24,202.36,281.88,266.87,436.05,441.1,490.16,428.71,462.03,535.73,444.93
QBE INSURANCE GROUP,AU000000QBE9,2621.62,2984.84,3710.28,2673.46,3531.85,6097.17,9712.72,11557.01,19926.25,21900.52,14254.21,18676.0,19555.36,15016.19,15327.53,12099.02,11035.81,9691.35,12910.63,11725.89,11768.48,14445.37,10794.03,14468.52,15485.89,18575.83
RAMSAY HEALTH CARE,AU000000RHC8,53.67,31.12,58.74,121.88,111.07,212.89,325.65,416.22,564.54,594.03,418.14,710.64,1229.33,1425.37,2252.47,2843.57,3602.51,3222.39,4021.82,4137.85,3396.23,4428.1,4310.8,3947.52,3995.14,2926.2
ST BARBARA,AU000000SBM8,79.97,172.78,159.41,266.39,120.81,91.27,105.35,807.86,719.37,1530.79,417.2,439.1,736.04,922.6,540.69,102.11,66.07,411.94,778.62,1054.75,1349.35,754.68,744.72,434.84,232.37,117.13
SUNLAND GROUP DEAD - DELIST.30/10/23,AU000000SDG6,196.59,309.96,199.04,269.26,336.17,1042.68,2298.21,1580.36,4268.22,4564.4,455.63,1078.48,1299.71,1330.15,2072.95,2415.14,2297.89,1988.28,2607.02,2740.79,2346.7,2727.56,4646.17,6195.74,6134.05,
SEEK,AU000000SEK6,,,,,,,,123.55,214.5,254.11,79.46,257.94,351.39,289.64,452.32,565.66,731.94,526.58,622.29,875.14,735.94,895.41,1408.58,1213.01,1112.17,1083.29
SIMS,AU000000SGM7,184.52,186.87,161.76,202.7,322.97,565.9,968.09,829.25,1308.96,2214.39,946.58,1612.2,1797.7,1546.14,1002.37,878.04,803.23,534.76,894.7,1333.96,852.75,812.27,1121.29,1288.08,1338.9,1259.2
STOCKLAND STAPLED UNITS,AU000000SGP0,993.15,853.63,935.01,996.9,1450.63,2168.61,2610.38,3007.24,4362.65,4279.14,1499.53,2952.04,3520.06,3559.45,3845.63,3777.35,4376.41,3811.69,4592.03,4504.5,4227.4,5437.86,6446.55,5335.73,5528.75,6213.66
SONIC HEALTHCARE,AU000000SHL7,303.06,642.42,691.81,567.15,572.32,925.66,1549.34,1931.74,2051.57,2526.23,1728.63,2476.45,2507.8,2698.98,3318.03,3509.76,3737.38,3331.6,4319.92,5286.03,4808.69,6153.15,8098.83,8369.98,6642.84,6725.72
SIGMA HEALTHCARE,AU000000SIG5,,,,,55.76,152.64,220.71,248.24,266.78,167.09,105.58,126.43,75.44,152.49,176.21,147.15,184.75,165.84,289.14,216.71,146.06,152.01,201.93,131.31,194.07,299.45
SANTOS,AU000000STO6,4756.41,4337.46,6298.65,5574.9,6967.31,9704.05,15667.46,21249.65,16636.92,27710.2,22684.23,30920.11,39927.19,42632.53,36809.08,36813.64,19533.81,8553.55,11588.51,15480.04,18566.63,22120.83,21794.83,22569.66,20959.6,21480.03
SUNCORP GROUP,AU000000SUN6,618.07,642.4,819.37,1010.78,888.51,1450.69,2372.91,2814.63,3089.94,2639.29,1029.64,1865.18,2156.65,2289.79,3107.58,3155.41,3649.68,2715.98,3510.81,3876.73,3851.24,3560.79,3496.52,3754.02,4130.19,4646.52
SEVEN WEST MEDIA,AU000000SWM4,364.68,374.64,353.34,344.88,428.24,741.92,1039.26,952.13,1780.06,1764.23,540.51,1288.37,1408.43,943.41,750.83,629.63,401.36,240.53,265.73,192.1,192.0,82.73,166.26,262.32,165.84,85.71
SOUTHERN CROSS MEDIA GROUP,AU000000SXL4,,,,,,,,,77.83,71.91,17.03,63.81,89.04,64.34,65.0,81.96,49.83,52.29,74.64,65.9,60.41,48.11,25.16,20.18,12.37,11.03
TABCORP HOLDINGS,AU000000TAH8,374.7,311.3,322.27,305.88,367.4,569.04,925.78,831.06,1053.71,983.72,390.01,572.11,764.66,810.3,941.85,965.98,1180.28,1033.01,1160.49,1514.08,1355.07,1274.15,1532.31,1658.87,1795.38,1414.93
