NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
SUNCORP GROUP,AU000000SUN6,1714.28,1591.85,1975.28,3837.47,3422.19,5378.21,7936.7,8594.49,10168.67,13110.71,4086.72,9719.02,11210.99,11379.74,14793.59,14112.58,14034.98,10245.24,13140.5,13807.48,12269.23,9751.0,9855.0,10155.29,11003.82,13008.74
SEVEN WEST MEDIA,AU000000SWM4,664.7,662.04,549.3,553.64,659.72,1047.09,1366.24,1228.33,2622.67,2226.93,636.66,1414.0,1245.55,2751.92,2438.51,1987.79,1157.18,1069.11,799.23,762.52,573.42,171.35,648.96,712.44,449.58,226.47
SOUTHERN CROSS MEDIA GROUP,AU000000SXL4,,,,,,,,,800.14,764.92,90.22,664.88,694.83,876.65,1108.45,909.9,616.05,624.8,785.59,663.15,656.55,372.94,474.57,337.96,171.69,153.75
TABCORP HOLDINGS,AU000000TAH8,2133.42,2227.03,1965.17,2106.91,2211.93,3670.85,7040.73,6026.84,7033.02,7206.2,2435.66,3684.29,5254.66,2137.17,2376.05,2392.84,3245.18,2566.22,2752.29,7407.53,6724.35,5216.12,7638.52,7994.05,1555.25,1097.06
TRANSURBAN GROUP STAPLED UNITS,AU000000TCL6,1053.81,830.92,1143.49,1061.87,1343.07,1802.45,3049.3,4174.46,5253.18,6262.22,3740.43,6053.3,7818.38,8807.26,9228.92,9452.08,13363.41,16500.56,17528.88,20021.74,23972.93,27620.49,27133.13,28092.71,29238.35,27238.41
TELSTRA GROUP,AU000000TLS2,21870.42,30399.16,21610.59,17329.27,16271.88,22937.4,24848.74,17158.13,35676.8,46995.52,29896.63,33093.17,35656.29,43436.43,58321.94,56757.96,60367.99,46137.78,43939.97,32819.19,27048.89,27279.69,28360.21,33450.49,32465.7,29242.15
WESTPAC BANKING,AU000000WBC1,12542.12,11975.61,12781.13,15056.22,14893.46,23274.45,26729.03,31884.82,38402.53,41880.64,31632.98,69644.75,72549.2,67957.82,95810.54,93504.07,92001.61,68222.64,87890.23,82915.5,65620.3,58367.58,67654.62,57762.16,53474.23,59443.04
WESFARMERS,AU000000WES1,2608.7,2030.72,2657.78,6150.28,5903.23,7972.67,11392.07,10061.5,11124.46,20796.53,9577.99,28019.68,33972.59,31502.05,41261.83,43830.12,39959.0,32523.04,37352.51,36754.48,26600.38,31512.98,43224.17,39247.98,37145.56,49063.7
WORLEY,AU000000WOR2,,,,,159.38,375.41,924.8,2019.75,4966.74,8560.8,2301.2,5260.53,7321.64,7662.89,6486.98,3737.68,1904.78,677.91,1504.87,3420.59,4836.3,4638.03,4486.54,4537.26,5389.5,5404.8
WOOLWORTHS GROUP,AU000000WOW2,3746.03,3525.18,4480.02,6546.39,7388.86,9197.84,12307.47,15229.52,25022.49,34126.41,22405.43,29802.86,33092.18,33054.2,43069.25,41060.85,33558.45,20332.05,26219.79,28107.82,27031.95,33664.57,38598.26,31319.98,30280.13,26274.68
